,Name,Ratings,Position,Version,PS,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Popularity,BS,IGS,Club,League,Country,Height(cm),Weight(kg),Body Type
0,Pelé,99,CAM,Icon Moments,3800000.0,5,4,H \ M,96,97,96,97,62,79,2392,527,2563,FUT 22 ICONS,Icons,Brazil,173,70, Unique
1,Lionel Messi,99,CF,ShapeShifters,2200000.0,5,4,H \ L,95,98,99,99,42,78,4336,511,2485,Paris SG,Ligue 1,Argentina,170,72, Messi
2,Cristiano Ronaldo,99,LW,ShapeShifters,2350000.0,5,4,H \ L,99,99,90,97,50,92,4752,527,2549,Manchester Utd,Premier League,Portugal,187,83, CR7
3,Raphaël Varane,99,CB,Premium Futties SBC,818750.0,2,3,M \ H,96,61,80,83,99,98,2208,517,2378,Manchester Utd,Premier League,France,191,81, Unique
4,Ousmane Dembélé,99,RW,Premium Futties,1160000.0,5,5,H \ M,99,96,94,99,49,79,1861,516,2488,FC Barcelona,LaLiga Santander,France,178,67, Unique
5,Mohamed Salah,99,CAM,Premium Futties SBC,1290000.0,5,5,H \ M,99,99,96,99,54,88,3026,535,2578,Liverpool,Premier League,Egypt,175,71, Salah
6,Robert Lewandowski,99,ST,Player Moments SBC,172800.0,4,5,H \ L,97,99,90,98,52,98,2544,534,2584,FC Barcelona,LaLiga Santander,Poland,185,81, Unique
7,Pelé,98,CAM,Icon,1750000.0,5,4,H \ M,95,96,93,96,60,76,1755,516,2513,FUT 22 ICONS,Icons,Brazil,173,70, Unique
8,Robert Lewandowski,98,ST,TOTY,190000.0,4,4,H \ M,93,98,87,95,50,95,14644,518,2500,FC Bayern,Bundesliga,Poland,185,81, Unique
9,Lionel Messi,98,RW,TOTY,1450000.0,4,4,M \ L,93,97,98,99,40,76,3690,503,2451,Paris SG,Ligue 1,Argentina,170,72, Messi
11,Karim Benzema,98,CF,TOTS,1000000.0,4,5,H \ M,95,98,90,98,47,87,5395,515,2479,Real Madrid,LaLiga Santander,France,185,81, Average
12,David Ginola,98,ST,Shapeshifters Hero,57500.0,5,5,H \ M,98,96,95,97,63,92,1664,541,2608,HERO,Premier League,France,186,83, High & Average
13,Franck Ribéry,98,LW,ShapeShifters,565000.0,5,5,H \ L,96,95,97,99,46,81,3162,514,2481,Salernitana,Serie A TIM,France,170,72, Short & Lean-
14,Gareth Bale,98,RM,Premium SBC,26000.0,5,4,H \ M,99,98,97,97,70,96,7872,557,2684,Real Madrid,LaLiga Santander,Wales,185,82, Unique
15,Abedi Pelé,98,LW,Shapeshifters Hero,1730000.0,5,5,H \ M,98,93,96,99,64,75,1759,525,2557,HERO,Bundesliga,Ghana,174,67, Average
16,N'Golo Kanté,98,CAM,ShapeShifters,38350.0,5,4,H \ H,92,93,92,96,92,91,2170,556,2651,Chelsea,Premier League,France,168,70, Unique
17,Wissam Ben Yedder,98,ST,Premium Futties,1150000.0,5,5,H \ L,99,99,93,99,55,85,2043,530,2582,AS Monaco,Ligue 1,France,170,68, Unique
18,Neymar Jr,98,CAM,Premium Futties SBC,210300.0,5,5,H \ L,99,95,94,99,44,73,4726,504,2467,Paris SG,Ligue 1,Brazil,175,68, Neymar
19,Christian Eriksen,98,CM,ShowDown SBC,197200.0,5,5,H \ M,96,97,99,98,90,92,2167,572,2751,Manchester Utd,Premier League,Denmark,181,76, Unique
20,Erling Haaland,98,ST,Player Moments SBC,192100.0,4,5,H \ L,99,99,91,95,54,98,756,536,2581,Manchester City,Premier League,Norway,194,94, Unique
21,Jules Koundé,98,CB,ShowDown SBC,319050.0,3,3,H \ H,96,60,83,90,99,95,2112,523,2400,FC Barcelona,LaLiga Santander,France,181,75, Average
22,Sadio Mané,98,ST,Player Moments SBC,242550.0,5,4,H \ L,99,96,95,99,56,92,1292,537,2586,FC Bayern,Bundesliga,Senegal,175,69, Unique
23,Paulo Dybala,98,CF,Player Moments SBC,51200.0,5,4,H \ L,97,98,98,99,51,83,1416,526,2562,Roma FC,Serie A TIM,Argentina,177,75, Unique
24,Nick Pope,98,GK,Player Moments SBC,363150.0,5,3,M \ M,96,97,90,98,70,96,2085,547,974,Newcastle Utd,Premier League,England,199,76, High & Average+
25,Julián Álvarez,98,ST,ShowDown SBC,138900.0,5,4,H \ L,99,99,97,98,69,87,1016,549,2679,Manchester City,Premier League,Argentina,170,71, Short & Lean-
26,Ivan Perišic,98,LM,ShowDown SBC,133500.0,4,5,H \ M,99,97,95,98,87,92,23,568,2740,Spurs,Premier League,Croatia,186,80, High & Average+
27,Kalidou Koulibaly,98,CB,Player Moments SBC,90800.0,2,3,M \ H,95,43,80,85,98,97,1349,498,2295,Chelsea,Premier League,Senegal,187,89, Unique
28,Alexis Sánchez,98,CF,Player Moments SBC,1400000.0,5,4,H \ L,97,98,96,98,54,93,-231,536,2589,OM,Ligue 1,Chile,168,62, Unique
30,Kylian Mbappé,97,ST,TOTY,78500.0,5,4,H \ L,99,95,90,98,44,88,-9584,514,2457,Paris SG,Ligue 1,France,182,73, Unique
31,Luiz Frello Filho Jorge,97,CM,TOTY,1280000.0,4,4,M \ M,88,90,98,93,86,87,-2838,542,2620,Chelsea,Premier League,Italy,180,68, Lean
32,Rúben Dias,97,CB,TOTY,4500000.0,2,4,M \ H,87,50,84,81,97,96,6017,495,2310,Manchester City,Premier League,Portugal,187,82, High & Average
33,Cristiano Ronaldo,97,ST,TOTY,1250000.0,5,4,H \ L,93,98,88,95,39,92,3008,505,2445,Manchester Utd,Premier League,Portugal,187,83, CR7
34,Ronaldo,97,ST,Icon,124000.0,5,5,M \ M,98,97,83,97,46,79,4039,500,2399,FUT 22 ICONS,Icons,Brazil,183,82, R9
36,Cristiano Ronaldo,97,ST,TOTS,17000.0,5,4,H \ L,94,99,88,95,39,91,2791,506,2455,Manchester Utd,Premier League,Portugal,187,83, CR7
37,Mohamed Salah,97,RW,TOTS,19000.0,4,4,H \ M,98,97,94,98,52,86,2477,525,2537,Liverpool,Premier League,Egypt,175,71, Salah
38,Joshua Kimmich,97,CDM,TOTS,1170000.0,3,4,H \ M,88,84,97,93,95,93,1788,550,2649,FC Bayern,Bundesliga,Germany,177,75, Lean
39,Robert Lewandowski,97,ST,TOTS,1100000.0,4,5,H \ M,92,97,86,94,49,94,1018,512,2468,FC Bayern,Bundesliga,Poland,185,81, Unique
40,Luka Modric,97,CM,TOTS,20000.0,4,4,M \ M,90,90,98,97,86,86,3072,547,2668,Real Madrid,LaLiga Santander,Croatia,172,66, Lean
41,Kylian Mbappé,97,ST,TOTS,183000.0,5,4,H \ L,99,96,90,99,44,89,-299,517,2474,Paris SG,Ligue 1,France,182,73, Unique
42,Lionel Messi,97,RW,TOTS,250000.0,4,4,M \ L,92,96,97,99,38,74,-729,496,2422,Paris SG,Ligue 1,Argentina,170,72, Messi
43,Rafael Leão,97,LW,TOTS,91000.0,5,4,H \ L,99,95,90,98,47,90,2854,519,2466,Milan,Serie A TIM,Portugal,188,81, High & Average+
44,Heung Min Son,97,ST,ShapeShifters,513600.0,5,5,H \ L,97,97,93,96,52,82,2006,517,2477,Spurs,Premier League,Korea Republic,183,78, Unique
45,Marcelo Vieira da Silva,97,ST,ShapeShifters,513600.0,5,5,H \ L,96,94,95,98,90,88,2508,561,2692,Real Madrid,LaLiga Santander,Brazil,174,75, Unique
48,Marcus Rashford,97,CAM,ShapeShifters,51050.0,5,4,H \ M,99,97,93,96,55,91,947,531,2538,Manchester Utd,Premier League,England,186,70, Unique
49,Diego Milito,97,RW,Shapeshifters Hero,610750.0,4,4,H \ L,97,97,89,95,51,88,-99,517,2500,HERO,Serie A TIM,Argentina,183,78, Average
50,Diego Milito,97,CAM,Shapeshifters Hero,100300.0,4,4,H \ M,94,95,94,97,60,88,523,528,2551,HERO,Serie A TIM,Argentina,183,78, Average
51,Iván Córdoba,97,RB,Shapeshifters Hero,275650.0,4,4,H \ H,96,75,84,90,96,94,1820,535,2565,HERO,Serie A TIM,Colombia,173,70, Average
52,Antonio Di Natale,97,RW,Shapeshifters Hero,175300.0,5,4,H \ L,97,98,94,98,55,80,1445,522,2537,HERO,Serie A TIM,Italy,170,69, Short & Lean-
53,Wissam Ben Yedder,97,LW,Futties,198300.0,4,5,H \ L,99,97,92,99,55,84,-591,526,2557,AS Monaco,Ligue 1,France,170,68, Unique
54,Allan Saint-Maximin,97,LM,Premium Futties SBC,156600.0,5,5,H \ L,99,95,91,99,35,87,3032,506,2417,Newcastle Utd,Premier League,France,173,67, Stocky
55,Ryan Gravenberch,97,CM,Player Moments SBC,80450.0,5,4,H \ H,96,92,96,98,90,92,2318,564,2665,FC Bayern,Bundesliga,Netherlands,190,79, High & Average+
56,Paul Pogba,97,CM,ShowDown SBC,2100000.0,5,5,H \ M,94,92,96,98,92,94,958,566,2730,Piemonte Calcio,Serie A TIM,France,191,84, Unique
57,Georginio Wijnaldum,97,CM,ShowDown SBC,1340000.0,5,5,H \ H,94,91,94,99,94,94,1081,566,2728,Roma FC,Serie A TIM,Netherlands,175,74, Unique
58,Antonio Rüdiger,97,CB,Player Moments SBC,740000.0,2,3,M \ H,92,54,85,87,98,98,3405,514,2395,Real Madrid,LaLiga Santander,Germany,190,85, High & Average+
59,Raheem Sterling,97,CF,Player Moments SBC,999000.0,5,4,H \ M,99,96,92,98,54,80,1014,519,2465,Chelsea,Premier League,England,170,69, Unique
60,Richarlison de Andrade,97,ST,Player Moments SBC,300000.0,4,5,H \ M,99,96,91,98,70,93,-498,547,2635,Spurs,Premier League,Brazil,181,71, Lean
61,Ronaldo,96,ST,Icon,890000.0,5,5,M \ M,97,95,81,95,45,76,2720,489,2341,FUT 22 ICONS,Icons,Brazil,183,78, R9
62,Zinedine Zidane,96,CAM,Icon,77500.0,5,5,M \ M,85,92,96,95,75,86,1025,529,2548,FUT 22 ICONS,Icons,France,185,77, Average
63,Lionel Messi,96,RW,OTW,191000.0,4,4,M \ L,89,95,94,98,38,72,3355,486,2372,Paris SG,Ligue 1,Argentina,170,72, Messi
64,Kylian Mbappé,96,ST,Headliners,16000.0,5,4,H \ L,99,93,90,97,44,86,27,509,2423,Paris SG,Ligue 1,France,182,73, Unique
65,Kevin De Bruyne,96,CM,TOTY,24250.0,4,5,H \ H,86,92,98,93,80,88,2500,537,2587,Manchester City,Premier League,Belgium,181,70, Unique
66,N'Golo Kanté,96,CDM,TOTY,37250.0,3,3,M \ H,90,84,90,91,96,90,11122,541,2551,Chelsea,Premier League,France,168,70, Unique
67,Gianluigi Donnarumma,96,GK,TOTY,94500.0,1,3,M \ M,98,90,90,97,63,92,-2879,530,1040,Paris SG,Ligue 1,Italy,196,90, Unique
68,Sadio Mané,96,CAM,UCL Live,556250.0,4,4,H \ M,99,92,91,96,53,88,1818,519,2486,Liverpool,Premier League,Senegal,175,69, Unique
69,Luis Suárez,96,ST,TOTS,17000.0,4,5,H \ M,94,97,92,95,55,93,1878,526,2540,Atlético de Madrid,LaLiga Santander,Uruguay,182,83, Unique
70,Virgil van Dijk,96,CB,TOTS,17000.0,2,3,M \ M,87,71,80,81,98,94,2343,511,2402,Liverpool,Premier League,Netherlands,193,92, Unique
71,Kevin De Bruyne,96,CM,TOTS,103000.0,4,5,H \ H,88,92,98,95,76,88,1825,537,2583,Manchester City,Premier League,Belgium,181,70, Unique
72,Sadio Mané,96,LW,TOTS,15000.0,5,4,H \ M,99,93,93,98,53,89,2013,525,2528,Liverpool,Premier League,Senegal,175,69, Unique
73,Harry Kane,96,ST,TOTS SBC,120000.0,4,5,H \ H,92,97,93,92,53,92,-1361,519,2512,Spurs,Premier League,England,188,89, Unique
74,Jude Bellingham,96,CM,TOTS,16500.0,4,4,H \ H,90,90,93,96,90,93,3167,552,2651,Dortmund,Bundesliga,England,186,75, High & Average+
75,Christopher Nkunku,96,CF,TOTS,17250.0,4,4,M \ M,94,92,97,98,87,87,4500,555,2644,RB Leipzig,Bundesliga,France,179,72, Lean
76,Vinícius Júnior,96,LW,TOTS,14500.0,5,4,H \ M,99,92,93,99,45,87,3799,515,2483,Real Madrid,LaLiga Santander,Brazil,176,73, Lean
77,Pedro González López,96,CM,TOTS,16500.0,5,4,H \ H,93,87,95,98,88,81,810,542,2598,FC Barcelona,LaLiga Santander,Spain,174,61, Lean
78,Neymar Jr,96,LW,TOTS,558050.0,5,5,H \ M,96,90,91,99,42,70,1623,488,2392,Paris SG,Ligue 1,Brazil,175,68, Neymar
79,Domenico Berardi,96,RW,TOTS,267400.0,4,4,H \ M,98,95,96,99,50,84,2534,522,2525,Sassuolo,Serie A TIM,Italy,183,72, Lean
80,Dušan Vlahovic,96,ST,TOTS,14250.0,4,4,H \ M,97,96,85,95,44,96,1174,513,2435,Piemonte Calcio,Serie A TIM,Serbia,190,75, High & Average
81,Ciro Immobile,96,ST,TOTS,16250.0,4,5,H \ M,96,98,86,92,48,91,1260,511,2480,SS Lazio,Serie A TIM,Italy,185,85, Unique
82,Paulo Dybala,96,CF,TOTS,126700.0,5,4,H \ L,95,96,96,99,48,78,2255,512,2504,Piemonte Calcio,Serie A TIM,Argentina,177,75, Unique
83,Ángel Di María,96,RW,Premium SBC,24250.0,5,3,H \ M,96,91,96,97,57,83,2540,520,2509,Paris SG,Ligue 1,Argentina,180,69, Unique
84,Lorenzo Insigne,96,LW,Premium SBC,25000.0,5,4,H \ M,97,93,95,98,47,60,8759,490,2374,Napoli,Serie A TIM,Italy,163,59, Unique
85,Eden Hazard,96,CAM,ShapeShifters,214500.0,5,4,H \ M,98,95,93,99,45,75,2009,505,2448,Real Madrid,LaLiga Santander,Belgium,175,74, Unique
86,Alphonso Davies,96,ST,ShapeShifters,322650.0,4,5,H \ L,99,92,91,96,90,91,1997,559,2639,FC Bayern,Bundesliga,Canada,183,75, Unique
87,Giorgio Chiellini,96,CB,Premium SBC,15000.0,2,3,M \ H,91,54,81,86,98,96,12905,506,2363,Piemonte Calcio,Serie A TIM,Italy,187,85, High & Average
88,Sergio Ramos García,96,ST,ShapeShifters,298250.0,5,4,H \ M,97,95,90,93,90,91,2301,556,2692,Paris SG,Ligue 1,Spain,184,82, Unique
89,Timo Werner,96,RF,ShapeShifters,14500.0,4,5,H \ L,99,95,91,96,50,88,1225,519,2499,Chelsea,Premier League,Germany,180,76, Unique
90,Fernandinho,96,CDM,Premium SBC,99550.0,4,4,M \ H,89,86,92,94,96,93,4444,550,2644,Manchester City,Premier League,Brazil,179,67, Lean
91,Jamie Vardy,96,LW,Player Moments SBC,109450.0,4,5,H \ M,97,96,88,94,61,87,1251,523,2553,Leicester City,Premier League,England,179,74, Unique
92,Leroy Sané,96,CF,ShapeShifters,140200.0,5,4,M \ L,99,93,92,96,50,84,1122,514,2473,FC Bayern,Bundesliga,Germany,183,80, Unique
93,Marco Reus,96,RW,Player Moments SBC,1170000.0,5,4,H \ M,97,93,95,96,58,83,3079,522,2513,Dortmund,Bundesliga,Germany,180,71, Unique
94,Joe Cole,96,CAM,Shapeshifters Hero,45450.0,5,4,H \ M,97,92,94,98,60,83,1342,524,2508,HERO,Ligue 1,England,176,73, Short & Lean-
95,Kingsley Coman,96,LM,Futties SBC,330150.0,4,4,H \ M,99,94,96,98,38,82,1203,507,2437,FC Bayern,Bundesliga,France,180,76, Unique
96,Ferrán Torres,96,RW,Futties SBC,152800.0,5,4,H \ M,99,92,96,97,47,81,1945,512,2464,FC Barcelona,LaLiga Santander,Spain,184,77, Lean
97,Nicolò Barella,96,CM,Premium Futties SBC,113900.0,5,5,H \ H,94,91,96,98,91,90,6095,560,2698,Inter,Serie A TIM,Italy,172,68, Short & Lean-
98,Ferland Mendy,96,CM,Premium Futties SBC,141400.0,5,5,H \ H,99,91,92,93,93,97,-22682,565,2670,Real Madrid,LaLiga Santander,France,180,73, Unique
99,Kevin-Prince Boateng,96,CAM,Premium Futties SBC,121300.0,5,5,H \ H,90,96,93,97,87,96,2298,559,2689,Hertha Berlin,Bundesliga,Ghana,185,86, High & Average
100,Antoine Griezmann,96,ST,Premium Futties SBC,2450000.0,5,5,H \ M,95,96,94,98,60,81,2677,524,2565,Atlético de Madrid,LaLiga Santander,France,176,73, Unique
